"","listener","Age","Group","Group2","CondCode","uRevs","TempRmv","z","material"
"166","TD20",9.7,"TD","TD_0","Diff_ENG",0.173666666666667,0,-0.312788293980454,"CCRM"
"167","TD21",10,"TD","TD_0","Diff_ENG",0.151,0,-0.421240419549751,"CCRM"
"168","TD22",8.9,"TD","TD_0","Diff_ENG",0.373666666666667,0,1.0639181609222,"CCRM"
"169","TD23",11.1,"TD","TD_0","Diff_ENG",0.203666666666667,0,0.239163857850026,"CCRM"
"170","TD01",11.9,"TD","TD_0","Diff_CCRM",0.238,0,-1.18499333617726,"CCRM"
"171","TD02",10.6,"TD","TD_1","Diff_CCRM",0.375,0,-0.496874925386293,"CCRM"
"172","TD03",12.1,"TD","TD_1","Diff_CCRM",0.684,0,1.63558523368398,"CCRM"
"173","TD04",10.6,"TD","TD_1","Diff_CCRM",0.552166666666667,0,0.613152385720812,"CCRM"
"174","TD05",7.8,"TD","TD_0","Diff_CCRM",0.680333333333333,0,1.04948720122691,"CCRM"
"175","TD06",10.6,"TD","TD_1","Diff_CCRM",0.308333333333333,0,-0.914570997298657,"CCRM"
"176","TD07",8.5,"TD","TD_1","Diff_CCRM",0.424333333333333,0,-0.462794244230205,"CCRM"
"177","TD08",10.7,"TD","TD_1","Diff_CCRM",0.5415,0,0.559416938598597,"CCRM"
"178","TD09",8.2,"TD","TD_0","Diff_CCRM",0.209666666666667,0,-1.8470633689393,"CCRM"
"179","TD10",7.7,"TD","TD_0","Diff_CCRM",0.592666666666667,0,0.487120942278396,"CCRM"
"180","TD11",7.3,"TD","TD_0","Diff_CCRM",0.401333333333333,0,-0.764050481645147,"CCRM"
"181","TD13",7.4,"TD","TD_0","Diff_CCRM",0.363333333333334,0,-0.989041318251422,"CCRM"
"182","TD14",7.9,"TD","TD_1","Diff_CCRM",0.515666666666667,0,0.0308738279871474,"CCRM"
"183","TD15",7,"TD","TD_0","Diff_CCRM",0.748,0,1.36868131914785,"CCRM"
"184","TD16",10,"TD","TD_0","Diff_CCRM",0.353333333333333,0,-0.711201695060401,"CCRM"
"185","TD17",11.9,"TD","TD_0","Diff_CCRM",0.219666666666667,0,-1.29985975595315,"CCRM"
"186","TD18",9.2,"TD","TD_0","Diff_CCRM",0.620166666666666,0,0.855859437698709,"CCRM"
"187","TD19",10.1,"TD","TD_0","Diff_CCRM",0.578833333333333,0,0.714751192566929,"CCRM"
"188","TD20",9.7,"TD","TD_0","Diff_CCRM",0.382,0,-0.570880157289377,"CCRM"
"189","TD21",10,"TD","TD_0","Diff_CCRM",0.662,0,1.22273111789384,"CCRM"
"190","TD22",8.9,"TD","TD_0","Diff_CCRM",0.490666666666667,0,0.0051970448576584,"CCRM"
"191","TD23",11.1,"TD","TD_0","Diff_CCRM",0.555333333333333,0,0.698472571055469,"CCRM"
